[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,mean [sugar] of turtles,mean [psugar] of patches
5,color-agents-by-metabolism,50,26,33,3.72727272727273,2.12121212121212,34.8181818181818,1.8108
10,color-agents-by-metabolism,50,7,42,3.23809523809524,2.26190476190476,19.3571428571429,1.8012
10,color-agents-by-metabolism,50,8,41,3.24390243902439,2.26829268292683,20.4146341463415,1.8012
11,color-agents-by-metabolism,100,4,99,3.51515151515152,2.49494949494949,15.8383838383838,1.7436
5,color-agents-by-metabolism,50,27,33,3.72727272727273,2.12121212121212,35.5757575757576,1.8108
14,color-agents-by-metabolism,100,1,100,3.54,2.51,15.6,1.7488
12,color-agents-by-metabolism,100,1,100,3.32,2.34,15.61,1.7548
10,color-agents-by-metabolism,50,9,41,3.24390243902439,2.26829268292683,21.0243902439024,1.8016
14,color-agents-by-metabolism,100,2,98,3.57142857142857,2.47959183673469,16.0102040816327,1.746
9,color-agents-by-metabolism,50,1,50,3.8,2.7,15.78,1.7976
11,color-agents-by-metabolism,100,5,96,3.52083333333333,2.48958333333333,16.5208333333333,1.7436
13,color-agents-by-metabolism,100,0,100,3.43,2.29,15.2,1.8488
12,color-agents-by-metabolism,100,2,100,3.32,2.34,15.72,1.7508
10,color-agents-by-metabolism,50,10,41,3.24390243902439,2.26829268292683,21.6341463414634,1.8016
14,color-agents-by-metabolism,100,3,96,3.61458333333333,2.44791666666667,16.5208333333333,1.7452
11,color-agents-by-metabolism,100,6,94,3.5531914893617,2.47872340425532,17.0957446808511,1.7448
14,color-agents-by-metabolism,100,4,94,3.61702127659574,2.41489361702128,17.1063829787234,1.7464
12,color-agents-by-metabolism,100,3,98,3.3469387755102,2.31632653061224,16.2040816326531,1.7496
9,color-agents-by-metabolism,50,2,48,3.83333333333333,2.64583333333333,16.4166666666667,1.796
15,color-agents-by-metabolism,100,0,100,3.53,2.49,15.33,1.8488
10,color-agents-by-metabolism,50,11,38,3.23684210526316,2.21052631578947,24.0263157894737,1.8016
14,color-agents-by-metabolism,100,5,90,3.67777777777778,2.36666666666667,18.1888888888889,1.7476
13,color-agents-by-metabolism,100,1,100,3.43,2.29,15.33,1.752
11,color-agents-by-metabolism,100,7,94,3.5531914893617,2.47872340425532,17.3510638297872,1.746
14,color-agents-by-metabolism,100,6,89,3.66292134831461,2.34831460674157,18.7977528089888,1.7492
