[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles
15,color-agents-by-metabolism,100,10,70,3.671428571,2.371428571
15,color-agents-by-metabolism,100,11,70,3.671428571,2.371428571
15,color-agents-by-metabolism,100,12,68,3.705882353,2.338235294
15,color-agents-by-metabolism,100,13,68,3.705882353,2.338235294
15,color-agents-by-metabolism,100,14,68,3.705882353,2.338235294
15,color-agents-by-metabolism,100,15,66,3.757575758,2.333333333
15,color-agents-by-metabolism,100,16,65,3.8,2.323076923
15,color-agents-by-metabolism,100,17,65,3.8,2.323076923
15,color-agents-by-metabolism,100,18,64,3.84375,2.328125
15,color-agents-by-metabolism,100,19,60,3.866666667,2.233333333
15,color-agents-by-metabolism,100,20,60,3.866666667,2.233333333
15,color-agents-by-metabolism,100,21,60,3.866666667,2.233333333
15,color-agents-by-metabolism,100,22,60,3.866666667,2.233333333
15,color-agents-by-metabolism,100,23,59,3.898305085,2.220338983
15,color-agents-by-metabolism,100,24,59,3.898305085,2.220338983
15,color-agents-by-metabolism,100,25,59,3.898305085,2.220338983
15,color-agents-by-metabolism,100,26,59,3.898305085,2.220338983
15,color-agents-by-metabolism,100,27,59,3.898305085,2.220338983
16,color-agents-by-metabolism,100,0,100,3.54,2.55
16,color-agents-by-metabolism,100,1,100,3.54,2.55
16,color-agents-by-metabolism,100,2,99,3.555555556,2.535353535
16,color-agents-by-metabolism,100,3,97,3.587628866,2.515463918
16,color-agents-by-metabolism,100,4,93,3.634408602,2.451612903
16,color-agents-by-metabolism,100,5,90,3.666666667,2.4
16,color-agents-by-metabolism,100,6,86,3.744186047,2.325581395
16,color-agents-by-metabolism,100,7,85,3.764705882,2.305882353
16,color-agents-by-metabolism,100,8,82,3.804878049,2.268292683
16,color-agents-by-metabolism,100,9,79,3.848101266,2.253164557
16,color-agents-by-metabolism,100,10,78,3.858974359,2.230769231
16,color-agents-by-metabolism,100,11,76,3.881578947,2.236842105
16,color-agents-by-metabolism,100,12,75,3.92,2.253333333
16,color-agents-by-metabolism,100,13,75,3.92,2.253333333
16,color-agents-by-metabolism,100,14,75,3.92,2.253333333
16,color-agents-by-metabolism,100,15,74,3.891891892,2.22972973
16,color-agents-by-metabolism,100,16,73,3.931506849,2.205479452
16,color-agents-by-metabolism,100,17,72,3.930555556,2.208333333
16,color-agents-by-metabolism,100,18,70,3.971428571,2.171428571
16,color-agents-by-metabolism,100,19,68,3.985294118,2.147058824
16,color-agents-by-metabolism,100,20,67,3.970149254,2.149253731
16,color-agents-by-metabolism,100,21,67,3.970149254,2.149253731
16,color-agents-by-metabolism,100,22,66,4,2.136363636
